1775  5
107	MA_IMPERATRIZ	-0.096342175	-0.828507796	250063	251468	252320	253123	253873
108	MT_SINOP	-0.206996049	-0.968657735	118833	123634	126817	129916	132934
109	RJ_CAMPOS_DOS_GOYTACAZES	-0.37646752	-0.73146749	472300	477208	480648	483970	487186
110	RJ_RIO_DE_JANEIRO	-0.399680399	-0.753982237	6390290	6429923	6453682	6476631	6498837
111	RO_VILHENA	-0.222354947	-1.049641012	79616	87727	89797	91801	93745
112	PA_SANTARÉM	-0.042586034	-0.954695101	284401	288462	290521	292520	294447
113	PE_CARUARU	-0.144513262	-0.627794932	324095	337416	342328	347088	351686
114	RJ_MACAÉ	-0.370009801	-0.735132681	217951	224442	229624	234628	239471
115	RJ_PETRÓPOLIS	-0.392699082	-0.753458638	297192	297888	298017	298142	298158
116	SP_BEBEDOURO	-0.365471945	-0.845961088	75069	77487	77558	77627	77695
117	SP_CATANDUVA	-0.368788071	-0.854687735	113873	118209	118853	119480	120092
118	MG_FRUTAL	-0.349414916	-0.854164136	54511	56720	57269	57795	58295
119	MG_POUSO_ALEGRE	-0.387986693	-0.801629725	134215	140223	142073	143846	145535
120	MG_VARGINHA	-0.376118454	-0.792903079	125208	130139	131269	132353	133384
121	MS_NOVA_ANDRADINA	-0.387986693	-0.930958623	47126	49104	50010	50893	51764
122	PR_CORNÉLIO_PROCÓPIO	-0.404567321	-0.883834733	46939	48420	48487	48551	48615
123	PR_PARANAVAÍ	-0.402647458	-0.915599726	82472	85643	86218	86773	87316
124	PR_TOLEDO	-0.431270858	-0.93793994	122502	128448	130295	132077	133824
125	PR_UMUARAMA	-0.41469023	-0.930609557	102184	106387	107319	108218	109132
126	RS_GRAMADO	-0.512603201	-0.88784899	32829	34110	34365	34605	34832
127	RS_SANTA_MARIA	-0.518013722	-0.938987138	263662	273489	274838	276108	277309
128	SC_BRUSQUE	-0.472809694	-0.853640537	109950	116634	119719	122775	125810
129	SC_JARAGUÁ_DO_SUL	-0.462163186	-0.856258531	148353	156519	160143	163735	167300
130	SP_ANDRADINA	-0.364599281	-0.896575637	55361	57145	57198	57250	57300
131	SP_ARARAQUARA	-0.380307244	-0.840725101	212617	222036	224304	226508	228664
132	SP_ARARAS	-0.390081088	-0.826937	121055	126391	127661	128895	130102
133	SP_AVARÉ	-0.402996524	-0.85381507	83910	87238	87820	88385	88938
134	SP_BARRA_BONITA	-0.392524549	-0.847357352	35210	36310	36315	36321	36326
135	SP_BRAGANÇA_PAULISTA	-0.400553063	-0.812276234	150023	156995	158856	160665	162435
136	SP_CARAGUATATUBA	-0.412246769	-0.792554013	104150	109678	111524	113317	115071
137	SP_DRACENA	-0.374896723	-0.899368164	43675	45346	45600	45847	46088
138	SP_FRANCA	-0.358316095	-0.827286065	323307	336734	339461	342112	344704
139	SP_GUARATINGUETÁ	-0.398109602	-0.788714289	113258	117663	118378	119073	119753
140	SP_ITAPEVA	-0.418529955	-0.852942405	88491	91807	92265	92710	93145
141	SP_JABOTICABAL	-0.370882466	-0.843343095	72305	75041	75436	75820	76196
142	SP_JACAREÍ	-0.406661716	-0.802153324	214223	223064	224826	226539	228214
143	SP_MATÃO	-0.376991118	-0.844041226	77546	80528	80990	81439	81878
144	SP_MOGI_MIRIM	-0.391477351	-0.819432084	87266	90558	91027	91483	91929
145	SP_OURINHOS	-0.400902129	-0.870395698	104420	108674	109489	110282	111056
146	SP_SÃO_JOÃO_DA_BOA_VISTA	-0.383274304	-0.816639557	84584	87912	88477	89027	89564
147	SP_SÃO_JOAQUIM_DA_BARRA	-0.35918876	-0.835140047	47256	49259	49690	50110	50520
148	SP_TUPÃ	-0.382750705	-0.881565805	63498	65540	65596	65651	65705
149	SP_VOTUPORANGA	-0.356396233	-0.872141027	86059	89715	90508	91278	92032
150	AC_CRUZEIRO_DO_SUL	-0.133168622	-1.268330767	79819	80377	80953	81519	82075
151	AL_DELMIRO_GOUVEIA	-0.163711884	-0.663050583	48876	50999	51349	51997	52306
152	BA_BARRA_DA_ESTIVA	-0.237713844	-0.721170047	20767	22409	22566	22394	22232
153	BA_IGUAÍ	-0.257436065	-0.699527964	26053	27615	27704	27787	27865
154	BA_PAULO_AFONSO	-0.16406095	-0.66706484	110193	117377	118323	119214	119930
155	BA_SIMÕES_FILHO	-0.223053078	-0.670206433	121416	129964	131630	133202	134674
156	GO_APARECIDA_DE_GOIÂNIA	-0.29356438	-0.859400124	474219	500619	511323	521910	532135
157	GO_CATALÃO	-0.317126325	-0.836710843	90004	94896	96836	98737	100590
158	MG_BOM_DESPACHO	-0.344353461	-0.789761487	46482	48350	48802	49236	49650
159	MG_GUIMARÂNIA	-0.328820031	-0.816639557	7399	7693	7764	7831	7895
160	MG_ITUIUTABA	-0.330914426	-0.863239848	98392	102020	102690	103333	103945
161	MG_LAVRAS	-0.370707933	-0.785398163	94228	98172	99229	100243	101208
162	MG_PARACATU	-0.300545697	-0.81803582	86153	89530	90294	91027	91724
163	MG_PATOS_DE_MINAS	-0.324107642	-0.811752635	140950	146416	147614	148762	149856
164	MT_NOVA_XAVANTINA	-0.256039801	-0.913679863	19917	20143	20273	20399	20519
165	MT_RONDONÓPOLIS	-0.287455728	-0.95347337	202309	208019	211718	215320	218899
166	PA_JURUTI	-0.037524579	-0.978955177	49486	51483	52755	53989	55179
167	PR_IBIPORÃ	-0.405963584	-0.89081605	49111	51255	51802	52330	52848
168	PR_SERTANÓPOLIS	-0.402298393	-0.890641517	15713	16255	16315	16373	16429
169	RJ_JAPERI	-0.392524549	-0.777718715	97337	98393	99141	99863	100562
170	RJ_NOVA_IGUAÇU	-0.397062405	-0.75834556	801746	804815	806177	807492	797435
171	RJ_SÃO_JOÃO_DE_MERITI	-0.397935069	-0.756949297	460062	460799	460711	460625	460541
172	RS_MARAU	-0.496371639	-0.91106187	37573	39182	39693	40174	40629
173	RS_SANTA_ROSA	-0.486423263	-0.950855376	69127	71665	71961	72240	72504
174	SC_CONCÓRDIA	-0.475253155	-0.907920277	69462	71499	72073	72642	73206
175	SC_GUABIRUBA	-0.472635161	-0.854862268	19254	20474	21046	21612	22174
176	SC_POMERODE	-0.466701042	-0.858178393	28610	30009	30598	31181	31760
177	SC_PORTO_UNIÃO	-0.457799863	-0.891339649	33740	34551	34717	34882	35045
178	SP_CAFELÂNDIA	-0.380481777	-0.865857842	16730	17346	17424	17499	17573
179	SP_DIADEMA	-0.413293967	-0.813672497	390980	406718	409613	412428	415180
180	SP_PIRAJU	-0.404741854	-0.861843585	28563	29532	29599	29664	29728
181	TO_PORTO_NACIONAL	-0.18675023	-0.844913891	49774	51501	51846	52182	52510
182	MG_CONTAGEM	-0.34784412	-0.768817536	613815	637961	643476	648766	653800
183	MG_ITAÚNA	-0.350287581	-0.777893248	86762	90084	90783	91453	92091
184	MG_SETE_LAGOAS	-0.339641072	-0.772133661	218574	227571	229887	232107	234221
185	MG_UBÁ	-0.368613538	-0.749444381	104004	108493	109779	111012	112186
186	PB_CAMPINA_GRANDE	-0.126187305	-0.626224136	389995	400002	402912	405072	407754
187	PE_OLINDA	-0.13962634	-0.608247244	379271	388127	388821	389494	390144
188	RJ_NITERÓI	-0.399331333	-0.752236908	491807	494200	495470	496696	497883
189	RJ_NOVA_FRIBURGO	-0.388859357	-0.742288531	183391	184122	184460	184786	185102
190	MG_MURIAÉ	-0.368788071	-0.739321471	102074	105861	106576	107263	107916
191	RJ_CABO_FRIO	-0.368788071	-0.727453232	195197	200380	204486	208451	212289
192	RJ_ITAPERUNA	-0.378212849	-0.734434549	97219	98004	98521	99021	99504
193	RJ_RIO_DAS_OSTRAS	-0.393048148	-0.731991088	116134	122196	127171	131976	136626
194	GO_ITUMBIARA	-0.321489648	-0.858876525	94613	98484	99526	100548	101544
195	RS_PASSO_FUNDO	-0.493230047	-0.914552528	187298	194432	195620	196739	197798
196	RS_SANTO_ÂNGELO	-0.493753645	-0.947015652	76205	78836	78908	78976	79040
197	AL_ARAPIRACA	-0.170169602	-0.639837704	218140	227640	229329	231053	232671
